model;dataset;fold;masking;MAE prefixes;MAE;MSE;RMSE;configuration;time value
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W_Complete;0;no-mask;11,16372785427577;7,336762812689607;1,6001738989038314;1,220667229192473;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W_Complete;1;no-mask;5,274340718511136;7,051512052744738;0,44587688623040167;0,6074978299680607;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W_Complete;1;no-mask;5,387681148054938;7,075377285868262;0,44424585837949976;0,6107514850819882;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W_Complete;2;no-mask;7,042198951958823;7,055623165856977;0,6230515318573753;0,7352401050220155;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W_Complete;2;no-mask;9,320324807227465;6,865125654126833;1,1726599825583166;1,0060741966687248;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W_Complete;3;no-mask;8,312595461003573;7,289014752558573;1,1919563045939239;1,0398669859078349;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W_Complete;3;no-mask;7,515973438836066;7,279271081000387;0,8895520052207984;0,9045546524926346;TAT;times+durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W_Complete;4;no-mask;5,953303648283837;6,991960121250245;0,5222718102821259;0,6670099409082207;TAT;durations
AllSelfCrossAttentionModelTFG;BPI_Challenge_2012_W_Complete;4;no-mask;10,211714200180356;7,072294504891512;1,1479783389496825;1,0233692343307808;TAT;times+durations
AllSelfCrossAttentionModelTFG;env_permit;0;no-mask;1,6617483944653866;3,002054044723511;0,15244808893770628;0,254778982852784;TAA;times
AllSelfCrossAttentionModelTFG;env_permit;0;no-mask;1,6512948222802695;3,0864847226142884;0,14970511575386744;0,24820508279772782;TAT;times
AllSelfCrossAttentionModelTFG;env_permit;1;no-mask;2,0951402551294156;3,6874863148674253;0,483107674123123;0,4269542173057682;TAA;times
AllSelfCrossAttentionModelTFG;env_permit;1;no-mask;2,508746071363421;3,800789609199434;0,49760120172937466;0,46222508028174597;TAT;times
AllSelfCrossAttentionModelTFG;env_permit;2;no-mask;2,625732831653314;3,4236601249192113;0,6866116470055424;0,5419281831442938;TAA;times
AllSelfCrossAttentionModelTFG;env_permit;3;no-mask;1,8307890416620347;2,5742068785813546;0,12312815130095639;0,27208782669105047;TAA;times
AllSelfCrossAttentionModelTFG;env_permit;2;no-mask;2,2564741704430653;3,2526630722275076;0,6657783481571636;0,5247681573009014;TAT;times
AllSelfCrossAttentionModelTFG;env_permit;3;no-mask;2,0291070432325418;2,7316636577729256;0,13069112172900443;0,28799487798187656;TAT;times
AllSelfCrossAttentionModelTFG;env_permit;4;no-mask;2,434353770642229;4,033123607476873;0,6408589208665046;0,5526447070349172;TAA;times
AllSelfCrossAttentionModelTFG;env_permit;4;no-mask;2,916029752894654;4,115345210317643;0,6527258259199838;0,5890373498855054;TAT;times
